id,name,type,ap,wp,range,mag_scaling,area.shape,area.radius,area.length,area.depth,effect.effect_type,effect.value,effect.element,effect.status_id,effect.duration,effect.stat,source,passive_kind,trigger,modifier
basic_strike,Basic Strike,skill,1,0,1,0.0,,,,,damage,3.0,,,,,class,,,
first_aid,First Aid,skill,1,1,0,0.0,,,,,heal,3.0,,,,,class,,,
power_strike,Power Strike,skill,1,2,1,0.0,,,,,damage,10.0,,,,,class,,,
reckless_swing,Reckless Swing,skill,1,3,1,0.0,,,,,damage,15.0,,,,,class,,,
rage,Rage,skill,1,2,0,0.0,,,,,buff,5.0,,,3.0,atk,class,,,
cleave,Cleave,skill,1,3,1,0.0,burst,1.0,,,damage,6.0,,,,,class,,,
shield_bash,Shield Bash,skill,1,2,1,0.0,,,,,status,,,stun,1.0,,class,,,
taunt,Taunt,skill,1,1,2,0.0,,,,,status,,,provoked,2.0,,class,,,
fortify,Fortify,skill,1,2,0,0.0,,,,,buff,4.0,,,3.0,def,class,,,
war_cry,War Cry,skill,1,3,0,0.0,burst,2.0,,,buff,3.0,,,3.0,atk,class,,,
charge,Charge,skill,2,4,1,0.0,,,,,damage,20.0,,,,,class,,,
iron_will,Iron Will,skill,1,2,0,0.0,,,,,buff,4.0,,,3.0,res,class,,,
last_stand,Last Stand,skill,1,3,0,0.0,,,,,buff,8.0,,,2.0,def,class,,,
backstab,Backstab,skill,1,2,1,0.0,,,,,damage,12.0,,,,,class,,,
lullaby,Lullaby,skill,1,3,3,0.0,,,,,status,,,sleep,2.0,,class,,,
poison_strike,Poison Strike,skill,1,2,1,0.0,,,,,status,,,poison,3.0,,class,,,
blind_strike,Blind Strike,skill,1,2,1,0.0,,,,,status,,,blind,2.0,,class,,,
steal,Steal,skill,1,1,1,0.0,,,,,damage,1.0,,,,,class,,,
evasion,Evasion,skill,1,2,0,0.0,,,,,buff,3.0,,,3.0,spd,class,,,
shadow_step,Shadow Step,skill,1,3,0,0.0,,,,,buff,5.0,,,1.0,spd,class,,,
cripple,Cripple,skill,1,2,1,0.0,,,,,status,,,slowed,3.0,,class,,,
expose_weakness,Expose Weakness,skill,1,2,1,0.0,,,,,buff,-4.0,,,3.0,def,class,,,
assassinate,Assassinate,skill,2,5,1,0.0,,,,,damage,25.0,,,,,class,,,
