id,name,race,level,bp,recommended_path,stats.spd,stats.atk,stats.rng,stats.def,stats.hp,stats.jump,stats.wp,stats.mag,stats.res,classes,equipment,abilities
human_fighter,Human Fighter,human,3.0,18.0,physical,10.0,10.0,1.0,10.0,50.0,2.0,12.0,0.0,0.0,"[""vagabond""]","[""sword"",""medium_armor"",""shield""]",[]
human_archer,Human Archer,human,2.0,13.0,physical,10.0,10.0,2.0,9.0,42.0,2.0,10.0,0.0,0.0,"[""vagabond""]","[""sling"",""light_armor""]",[]
human_rogue,Human Rogue,human,3.0,16.0,control,10.0,8.0,1.0,9.0,40.0,2.0,10.0,0.0,0.0,"[""vagabond""]","[""daggers"",""light_armor""]",[]
human_bard,Human Bard,human,3.0,17.0,support,10.0,8.0,2.0,9.0,45.0,2.0,12.0,0.0,0.0,"[""vagabond""]","[""sling"",""light_armor""]",[]
dwarf_barbarian,Dwarf Barbarian,dwarf,3.0,20.0,physical,10.0,10.0,1.0,9.0,55.0,2.0,12.0,0.0,0.0,"[""vagabond""]","[""sword"",""light_armor""]",[]
elf_black_mage,Elf Black Mage,elf,5.0,30.0,magical,10.0,7.0,1.0,8.0,40.0,2.0,12.0,0.0,0.0,"[""vagabond""]","[""staff""]",[]
elf_red_mage,Elf Red Mage,elf,4.0,26.0,magical,10.0,9.0,1.0,9.0,45.0,2.0,12.0,0.0,0.0,"[""vagabond""]","[""staff"",""light_armor""]",[]
halfling_white_mage,Halfling White Mage,halfling,4.0,24.0,magical,10.0,7.0,1.0,9.0,47.0,2.0,12.0,0.0,0.0,"[""vagabond""]","[""staff""]",[]
dwarf_guardian,Dwarf Guardian,dwarf,3.0,18.0,physical,8.0,9.0,1.0,12.0,55.0,2.0,8.0,0.0,5.0,"[""vagabond""]","[""sword"",""medium_armor"",""shield""]",[]
dwarf_cleric,Dwarf Cleric,dwarf,3.0,14.0,magical,8.0,7.0,1.0,10.0,48.0,2.0,10.0,3.0,6.0,"[""vagabond""]","[""staff"",""light_armor""]",[]
elf_ranger,Elf Ranger,elf,3.0,14.0,physical,12.0,8.0,2.0,7.0,38.0,2.0,10.0,2.0,3.0,"[""vagabond""]","[""sling"",""light_armor""]",[]
elf_enchanter,Elf Enchanter,elf,3.0,12.0,support,11.0,6.0,1.0,7.0,35.0,2.0,14.0,6.0,4.0,"[""vagabond""]","[""staff""]",[]
halfling_scout,Halfling Scout,halfling,3.0,14.0,control,12.0,8.0,1.0,7.0,36.0,3.0,10.0,2.0,3.0,"[""vagabond""]","[""daggers"",""light_armor""]",[]
halfling_herbalist,Halfling Herbalist,halfling,3.0,12.0,support,11.0,6.0,1.0,7.0,35.0,2.0,12.0,5.0,4.0,"[""vagabond""]","[""staff""]",[]
human_knight,Human Knight,human,4.0,22.0,physical,9.0,11.0,1.0,11.0,55.0,2.0,10.0,0.0,2.0,"[""vagabond""]","[""sword"",""medium_armor"",""shield""]",[]
human_mage,Human Mage,human,3.0,12.0,magical,9.0,6.0,1.0,7.0,38.0,2.0,12.0,5.0,3.0,"[""vagabond""]","[""staff""]",[]
human_healer,Human Healer,human,3.0,14.0,magical,9.0,6.0,1.0,8.0,40.0,2.0,12.0,4.0,4.0,"[""vagabond""]","[""staff"",""light_armor""]",[]
elf_assassin,Elf Assassin,elf,4.0,18.0,control,13.0,9.0,1.0,7.0,35.0,3.0,10.0,3.0,3.0,"[""vagabond""]","[""daggers"",""light_armor""]",[]
dwarf_berserker,Dwarf Berserker,dwarf,4.0,20.0,physical,8.0,12.0,1.0,9.0,58.0,2.0,8.0,0.0,4.0,"[""vagabond""]","[""greataxe"",""light_armor""]",[]
halfling_trickster,Halfling Trickster,halfling,3.0,14.0,control,12.0,7.0,1.0,7.0,34.0,3.0,12.0,4.0,3.0,"[""vagabond""]","[""daggers"",""light_armor""]",[]
