id,name,abbr,archetype,branch,tier,level_max,stats.spd,stats.atk,stats.rng,stats.def,stats.hp,stats.jump,stats.wp,stats.mag,stats.res,growth.spd,growth.atk,growth.rng,growth.def,growth.hp,growth.jump,growth.wp,growth.mag,growth.res,equipment_access,granted_abilities,required_classes,derived_bonuses,jp_costs,prerequisites
vagabond,Vagabond,VAG,support,generalist,0,10,1.0,,,,3.0,,1.0,2.0,,0.2,,,,1.0,,0.5,0.4,,"[""sword"", ""daggers"", ""staff"", ""sling"", ""light_armor""]",[],[],{},"{""basic_strike"": 20, ""cleave"": 20, ""steal"": 30, ""use_bomb"": 30, ""counter"": 40, ""counter_tackle"": 40, ""hp_plus"": 50}",{}
squire,Squire,SQU,physical_attack,melee,1,10,1.0,3.0,,,10.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""power_strike"": 30, ""bloodthirst"": 40, ""slash"": 60, ""thrust"": 60, ""magic_defense_up"": 70, ""move_plus_1"": 80, ""jump_plus_1"": 90}","{""classes"": [[""vagabond"", 3]]}"
footman,Footman,FOO,physical_defense,guard,1,10,,1.0,,4.0,13.0,,,,1.0,,0.3,,0.6,2.0,,,,0.2,"[""sword"", ""longsword"", ""halberd"", ""mace"", ""heavy_armor"", ""plate_armor"", ""chain_mail"", ""medium_armor"", ""shield"", ""tower_shield"", ""buckler"", ""amulet_of_protection""]",[],[],{},"{""fortify"": 30, ""guard_up"": 40, ""warding"": 60, ""lullaby"": 60, ""concentrate"": 70, ""dual_wield"": 80, ""doublehand"": 90}","{""classes"": [[""vagabond"", 3]]}"
apprentice,Apprentice,APP,magical_attack,arcane,1,10,,,,,,,,4.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""crown_of_wisdom""]",[],[],{},"{""fire_1"": 30, ""ice_1"": 40, ""thunder_1"": 60, ""arcane_blast"": 60, ""resist_lightning"": 70, ""resist_water"": 80, ""resist_earth"": 90}","{""classes"": [[""vagabond"", 3]]}"
acolyte,Acolyte,ACO,magical_defense,divine,1,10,,,,1.0,5.0,,,2.0,4.0,,,,,1.0,,0.4,0.4,0.6,"[""staff"", ""mace"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""shield"", ""healers_charm"", ""amulet_of_protection""]",[],[],{},"{""smite"": 30, ""holy_shot"": 40, ""holy_smite"": 60, ""cure_1"": 60, ""resist_wind"": 70, ""resist_holy"": 80, ""resist_dark"": 90}","{""classes"": [[""vagabond"", 3]]}"
page,Page,PAG,support,song,1,10,1.0,,,,4.0,,1.0,2.0,,0.2,,,,1.0,,0.5,0.4,,"[""lute"", ""daggers"", ""rapier"", ""robe"", ""light_armor"", ""war_horn"", ""healers_charm"", ""crown_of_wisdom""]",[],[],{},"{""song_of_speed"": 30, ""threaten"": 40, ""preach"": 60, ""pep_talk"": 60, ""xp_boost"": 70, ""martial_arts"": 80, ""auto_potion"": 90}","{""classes"": [[""vagabond"", 3]]}"
cutpurse,Cutpurse,CUT,control,rogue,1,10,3.0,2.0,,,3.0,,,,,0.5,0.4,,,1.0,,,,,"[""daggers"", ""throwing_knives"", ""rapier"", ""short_bow"", ""sling"", ""light_armor"", ""studded_leather"", ""cloak_of_shadows"", ""smoke_bomb_pouch""]",[],[],{},"{""dispel"": 30, ""smoke_bomb"": 40, ""leg_shot"": 60, ""esuna"": 60, ""move_hp_up"": 70, ""regenerator"": 80, ""blade_grasp"": 90}","{""classes"": [[""vagabond"", 3]]}"
tinker,Tinker,TIN,support,clockwork,1,10,1.0,,,,4.0,,1.0,2.0,,0.2,,,,1.0,,0.5,0.4,,"[""sling"", ""crossbow"", ""mace"", ""light_armor"", ""studded_leather"", ""bracer_of_accuracy""]",[],[],{},"{""magnetic_pulse"": 30, ""net_launcher"": 40, ""nature_salve"": 60, ""mend"": 60, ""equip_gadget"": 70, ""overclock_passive"": 80, ""field_medic"": 90}","{""classes"": [[""vagabond"", 3]]}"
slinger,Slinger,SLI,physical_attack,ranged,1,10,2.0,2.0,1.0,,6.0,,,,,0.3,0.5,0.2,,1.2,,,,,"[""bow"", ""longbow"", ""crossbow"", ""short_bow"", ""sling"", ""light_armor"", ""studded_leather"", ""bracer_of_accuracy"", ""rangers_quiver""]",[],[],{},"{""fire_arrow"": 30, ""ice_arrow"": 40, ""lightning_arrow"": 60, ""fire_shot"": 60, ""bash"": 70, ""parry_strike"": 80, ""war_cry"": 90}","{""classes"": [[""vagabond"", 3]]}"
soldier,Soldier,SOL,physical_attack,melee,2,10,1.0,3.0,,,11.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""backstab"": 50, ""lunge"": 60, ""gut_punch"": 80, ""bulwark_bash"": 80, ""first_strike"": 100, ""vigilance"": 110, ""parry"": 130}","{""classes"": [[""squire"", 4]]}"
warrior,Warrior,WAR,physical_attack,melee,2,10,1.0,3.0,,,11.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""shield_slam"": 50, ""riposte"": 60, ""haste"": 80, ""prophecy"": 80, ""reflexes"": 100, ""deathblow"": 110, ""second_wind"": 130}","{""classes"": [[""squire"", 5]]}"
knight_errant,Knight Errant,KNI,physical_attack,melee,2,10,1.0,3.0,,,11.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""eagle_eye"": 50, ""keen_eye"": 60, ""hunters_mark"": 80, ""ice_shot"": 80, ""evasion_up"": 100, ""stoneskin"": 110, ""hp_boost_1"": 130}","{""classes"": [[""squire"", 4]]}"
myrmidon,Myrmidon,MYR,physical_attack,melee,3,10,1.0,4.0,,,12.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""whirlwind"": 60, ""spin_slash"": 80, ""rend"": 100, ""uppercut"": 100, ""def_boost_1"": 130, ""spd_boost_1"": 150, ""rng_boost_1"": 170}","{""classes"": [[""soldier"", 3]]}"
berserker,Berserker,BER,physical_attack,melee,3,10,1.0,4.0,,,12.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""grapple_throw"": 60, ""spread_shot"": 80, ""bless"": 100, ""counter_stance"": 100, ""wp_boost_1"": 130, ""equip_sword"": 150, ""equip_axe"": 170}","{""classes"": [[""soldier"", 4]]}"
gladiator,Gladiator,GLA,physical_attack,melee,3,10,1.0,4.0,,,12.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""battle_roar"": 60, ""steady_aim"": 80, ""hobble"": 100, ""mark_target"": 100, ""equip_spear"": 130, ""equip_bow"": 150, ""equip_dagger"": 170}","{""classes"": [[""warrior"", 4]]}"
dragoon,Dragoon,DRA,physical_attack,melee,3,10,1.0,4.0,,,12.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""wind_shot"": 60, ""arcane_shot"": 80, ""steam_shot"": 100, ""alchemical_shot"": 100, ""equip_mace"": 130, ""equip_staff"": 150, ""boost_fire"": 170}","{""classes"": [[""soldier"", 5]]}"
lancer,Lancer,LAN,physical_attack,melee,4,10,1.0,4.0,,,13.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""wyvern_strike"": 80, ""frenzy"": 100, ""vengeance"": 130, ""wide_swing"": 130, ""equip_rod"": 160, ""equip_heavy_armor"": 180, ""equip_shield"": 210}","{""classes"": [[""dragoon"", 4]]}"
monk,Monk,MON,physical_attack,melee,2,10,1.0,3.0,,,11.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""lightning_shot"": 50, ""water_shot"": 60, ""earth_shot"": 80, ""rifle_shot"": 80, ""atk_boost_1"": 100, ""resist_poison"": 110, ""resist_arcane"": 130}","{""classes"": [[""squire"", 4]]}"
master_monk,Master Monk,MAS,physical_attack,melee,3,10,1.0,4.0,,,12.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""blunderbuss"": 60, ""armor_piercing"": 80, ""flash_round"": 100, ""gale_slash"": 100, ""boost_ice"": 130, ""boost_lightning"": 150, ""boost_water"": 170}","{""classes"": [[""monk"", 5]]}"
