id,move_cost,impassable,blocks_los,cover,los_height,damage_on_enter,damage_per_turn,is_water,status_on_enter.status_id,status_on_enter.duration,occupant_modifiers,tags
grass,1.0,false,false,0.0,0.0,,,,,,,
road,1.0,false,false,0.0,0.0,,,,,,,
brush,2.0,false,false,1.0,0.0,,,,,,,"[""forest""]"
trees,2.0,false,true,2.0,2.0,,,,,,,"[""forest""]"
rocks,3.0,false,true,0.0,2.0,,,,,,,
shallow_water,2.0,false,false,0.0,0.0,,,true,,,,
deep_water,0.0,true,false,0.0,0.0,,,true,,,,
cliff,0.0,true,true,0.0,3.0,,,,,,,
rubble,2.0,false,false,0.0,0.0,,,,,,,
barricade,1.0,false,false,2.0,0.0,,,,,,,
lava,2.0,false,false,0.0,0.0,,4.0,,,,,"[""hazard""]"
spikes,1.0,false,false,0.0,0.0,3.0,,,,,,"[""hazard""]"
bog,2.0,false,false,0.0,0.0,,,,slowed,1.0,"[{""key"":""spd"",""value"":-1.0}]","[""hazard""]"
sand,2.0,false,false,0.0,0.0,,,,,,,
ice,1.0,false,false,0.0,0.0,,,,slowed,1.0,,"[""hazard""]"
cursed_ground,1.0,false,false,0.0,0.0,,,,,,"[{""key"":""res"",""value"":-2.0}]","[""hazard""]"
blessed_ground,1.0,false,false,0.0,0.0,,,,,,"[{""key"":""res"",""value"":2.0},{""key"":""def"",""value"":1.0}]",
